Customer_ID,Customer_Name,Gender,Age,City,State,Occupation,Annual_Income,Credit_Limit,Card_Type,Join_Date
C100001,Sanjay Reddy,Male,22,Kochi,Kerala,Banker,1236213,98289,Silver,2021-02-23
C100002,Sanjay Verma,Male,22,Bengaluru,Karnataka,Teacher,2419613,83478,Silver,2022-03-25
C100003,Rohan Nair,Female,58,Pune,Maharashtra,Doctor,327257,300926,Gold,2024-09-27
C100004,Sneha Das,Male,69,Delhi,Delhi,Student,1893530,92676,Silver,2024-01-10
C100005,Ishaan Rao,Male,67,Ahmedabad,Gujarat,Teacher,1887688,290328,Gold,2023-04-15
C100006,Sai Verma,Male,23,Vijayawada,Andhra Pradesh,Student,1513781,90458,Silver,2022-08-11
C100007,Kiran Joshi,Female,61,Indore,Madhya Pradesh,Engineer,1852651,126566,Silver,2022-05-08
C100008,Sanjay Gupta,Male,55,Kochi,Kerala,Business,2238859,129735,Silver,2023-01-10
C100009,Aditya Gupta,Male,35,Indore,Madhya Pradesh,Business,1623105,132581,Silver,2023-01-01
C100010,Kiran Patel,Male,62,Ahmedabad,Gujarat,Teacher,2996316,140142,Silver,2021-08-08
C100011,Rahul Patel,Female,68,Visakhapatnam,Andhra Pradesh,Consultant,2747514,132350,Silver,2024-01-22
C100012,Ishaan Reddy,Male,69,Hyderabad,Telangana,Banker,941062,800969,Platinum,2024-09-25
C100013,Sanjay Nair,Female,59,Ahmedabad,Gujarat,Business,2620397,281504,Gold,2021-04-14
C100014,Diya Iyer,Male,39,Kolkata,West Bengal,Engineer,313611,114522,Silver,2025-08-12
C100015,Sanjay Iyer,Female,61,Jaipur,Rajasthan,IT,941054,329009,Gold,2021-10-23
C100016,Vivaan Gupta,Female,52,Hyderabad,Telangana,Engineer,1822451,120306,Silver,2022-09-07
C100017,Vikram Iyer,Male,67,Ahmedabad,Gujarat,Doctor,2534331,296483,Gold,2021-06-09
C100018,Arjun Kapoor,Female,54,Indore,Madhya Pradesh,Business,1188346,306365,Gold,2023-06-30
C100019,Aarav Das,Female,54,Ahmedabad,Gujarat,Teacher,1242448,88392,Silver,2023-10-16
C100020,Vivaan Rao,Male,21,Bengaluru,Karnataka,Engineer,546934,310007,Gold,2020-10-03
C100021,Rahul Singh,Male,38,Vijayawada,Andhra Pradesh,Banker,2561711,97342,Silver,2025-04-20
C100022,Pooja Joshi,Male,27,Bengaluru,Karnataka,IT,1786031,335519,Gold,2024-08-10
C100023,Priya Iyer,Male,24,Kolkata,West Bengal,Consultant,758307,312591,Gold,2022-02-23
C100024,Sanjay Reddy,Male,48,Chennai,Tamil Nadu,IT,1347764,89880,Silver,2024-12-20
C100025,Vikram Singh,Male,26,Chandigarh,Chandigarh,Teacher,1291447,301798,Gold,2024-07-22
C100026,Neha Verma,Female,24,Chennai,Tamil Nadu,Consultant,1937547,114760,Silver,2025-02-06
C100027,Vivaan Sharma,Male,33,Pune,Maharashtra,Consultant,545296,87989,Silver,2023-07-08
C100028,Rahul Verma,Male,24,Jaipur,Rajasthan,Engineer,1079406,88981,Silver,2020-10-05
C100029,Rohan Nair,Male,58,Visakhapatnam,Andhra Pradesh,Teacher,643863,134948,Silver,2025-11-11
C100030,Aditya Sharma,Female,36,Pune,Maharashtra,Consultant,1558278,139929,Silver,2023-07-19
C100031,Aditya Gupta,Male,25,Jaipur,Rajasthan,Business,1412331,97361,Silver,2023-11-30
C100032,Sanjay Nair,Female,31,Ahmedabad,Gujarat,Engineer,1568848,349329,Gold,2020-02-02
C100033,Neha Das,Male,37,Bengaluru,Karnataka,Teacher,2620388,800374,Platinum,2023-01-20
C100034,Kiran Sharma,Female,34,Vijayawada,Andhra Pradesh,Engineer,1407228,346244,Gold,2025-06-24
C100035,Pooja Iyer,Female,38,Hyderabad,Telangana,Banker,848697,114335,Silver,2021-10-23
C100036,Aisha Iyer,Male,28,Bengaluru,Karnataka,Doctor,925178,784722,Platinum,2024-02-21
C100037,Rahul Kapoor,Female,29,Hyderabad,Telangana,Engineer,467331,126898,Silver,2022-05-10
C100038,Diya Patel,Female,70,Jaipur,Rajasthan,Banker,2004470,800257,Platinum,2022-08-27
C100039,Diya Joshi,Male,32,Kochi,Kerala,Engineer,2026850,812527,Platinum,2022-12-28
C100040,Neha Gupta,Female,23,Indore,Madhya Pradesh,Teacher,1137069,140332,Silver,2023-12-03
